ql_path,vuln_count
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-21-filesystem-cwe-21.ql,107
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-22-download-cwe-22.ql,107
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-22-downloader.ql,107
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-22-expression.ql,107
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-22-Expressions.ql,107
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-22-file.ql,107
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-22-Global.ql,107
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-22-regen_golden_master.ql,107
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-22-s3.ql,107
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-22-SConscript.ql,107
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-22-verify.ql,107
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-22-xhu.ql,107
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-254-access.ql,0
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-254-core-cwe-254.ql,0
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-255-globals.ql,4
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-264-archiver.ql,2
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-264-bccache.ql,0
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-264-cache.ql,6
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-264-core-cwe-264.ql,24
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-264-documentview.ql,107
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-264-EpsImagePlugin-cwe-264.ql,107
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-264-quota.ql,24
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-264-regex.ql,0
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-264-sec.ql,24
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-264-sql.ql,0
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-287-basic_auth.ql,4
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-287-core-cwe-287.ql,0
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-287-gpgi.ql,0
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-287-middleware.ql,0
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-287-roomer.ql,24
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-287-transport.ql,0
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-287-version.ql,0
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-287-views-cwe-287.ql,0
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-295-bindings.ql,0
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-295-cli-cwe-295.ql,0
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-295-consumer.ql,0
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-352-interceptor.ql,0
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-352-networkmanager.ql,0
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-352-qutescheme.ql,0
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-352-webenginequtescheme.ql,3
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-352-webkitqutescheme.ql,0
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-400-client-cwe-400.ql,0
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-400-matrixfederationclient.ql,0
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-400-registerservlet.ql,2
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-400-server.ql,25
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-400-stringutils.ql,2
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-400-url.ql,2
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-502-bookmarkmanager.ql,0
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-502-cli-cwe-502.ql,0
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-502-code.ql,0
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-502-config-cwe-502.ql,0
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-532-apps.ql,7
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-532-filesystem-cwe-532.ql,7
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-532-webhook_cases.ql,0
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-59-EpsImagePlugin-cwe-59.ql,107
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-601-client-cwe-601.ql,3
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-601-CookieAuthHelper.ql,3
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-601-generic_worker.ql,3
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-601-httppusher.ql,3
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-601-identity.ql,3
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-601-keyring.ql,3
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-601-login.ql,3
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-601-logout.ql,3
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-601-matrixfederationclient.ql,3
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-601-matrix_federation_agent.ql,3
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-601-media_repository.ql,3
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-601-middlewares.ql,3
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-601-modules.ql,3
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-601-server.ql,3
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-601-settings.ql,3
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-601-setup.ql,3
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-601-views-cwe-601.ql,3
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-611-metadata.ql,0
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-611-pack.ql,0
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-611-setup.ql,0
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-611-soap.ql,0
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-611-_xml.ql,0
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-74-connection.ql,0
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-74-injectionhelpers.ql,0
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-74-registration.ql,0
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-74-ticketer.ql,0
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-74-views-cwe-74.ql,0
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-74-warnsystem.ql,0
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-74-_newclient.ql,0
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-77-allow_execmod.ql,24
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-77-guibase.ql,24
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-77-sealert.ql,0
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-77-signature.ql,24
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-78-apkleaks-cwe-78.ql,24
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-78-stix2misp.ql,24
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-78-Trigger.ql,24
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-79-0047_rawhtmlblock.ql,25
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-79-api_routes.ql,25
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-79-app-cwe-79.ql,25
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-79-base-cwe-79.ql,25
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-79-chemcalc.ql,25
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-79-clean.ql,25
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-79-commands.ql,25
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-79-compare.ql,25
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-79-db-cwe-79.ql,25
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-79-functions.ql,25
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-79-gravatars.ql,25
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-79-handlers.ql,25
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-79-http.ql,25
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-79-LICENSE.ql,25
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-79-mailer.ql,25
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-79-mistune.ql,25
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-79-notebookapp.ql,25
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-79-qutescheme.ql,25
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-79-readers.ql,25
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-79-reviewtags.ql,25
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-79-rhnPackage.ql,25
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-79-routing.ql,25
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-79-stats.ql,25
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-79-victim.ql,25
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-79-widgets.ql,25
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-79-ZRPythonExpr.ql,25
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-863-kickban.ql,0
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-863-spawner.ql,0
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-863-views-cwe-863.ql,0
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-89-db-cwe-89.ql,0
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-89-executor.ql,0
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-89-general.ql,0
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-89-mixins.ql,0
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-89-stats.ql,0
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-89-victim.ql,0
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-90-t_kdb.ql,0
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-918-launcher.ql,1
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-918-registerservlet.ql,0
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-918-resource.ql,0
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-918-stringutils.ql,0
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-918-sydent.ql,0
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-918-threepidunbindservlet.ql,0
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-94-app-cwe-94.ql,0
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-94-a_model.ql,0
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-94-errors.ql,0
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-94-evaluator.ql,0
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-94-memcache.ql,0
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-94-memcached.ql,0
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-94-openapi.ql,0
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-94-parser.ql,0
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-94-plugin.ql,0
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-94-properties.ql,0
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-94-report_mirror.ql,0
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-94-setup.ql,0
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-94-xmlrpc.ql,0
